namea,nameb,dyad.id
CAN,USA,2020
CUB,USA,2040
HAI,USA,2041
DOM,USA,2042
GRN,USA,2055
MEX,USA,2070
GUA,USA,2090
HON,USA,2091
SAL,USA,2092
NIC,USA,2093
PAN,USA,2095
COL,USA,2100
VEN,USA,2101
ECU,USA,2130
PER,USA,2135
BRA,USA,2140
CHL,USA,2155
UKG,USA,2200
FRN,USA,2220
SWZ,USA,2225
SPN,USA,2230
GMY,USA,2255
GDR,USA,2265
POL,USA,2290
AUH,USA,2300
AUS,USA,2305
HUN,USA,2310
CZE,USA,2315
ITA,USA,2325
ALB,USA,2339
YUG,USA,2345
GRC,USA,2350
BUL,USA,2355
ROM,USA,2360
RUS,USA,2365
SWD,USA,2380
CDI,USA,2437
LBR,USA,2450
SOM,USA,2520
MOR,USA,2600
LIB,USA,2620
SUD,USA,2625
IRN,USA,2630
TUR,USA,2640
IRQ,USA,2645
EGY,USA,2651
SYR,USA,2652
JOR,USA,2663
ISR,USA,2666
YAR,USA,2678
YPR,USA,2680
AFG,USA,2700
CHN,USA,2710
TAW,USA,2713
PRK,USA,2731
JPN,USA,2740
PAK,USA,2770
THI,USA,2800
CAM,USA,2811
DRV,USA,2816
INS,USA,2850
HAI,CAN,20041
SAL,CAN,20092
FRN,CAN,20220
SPN,CAN,20230
POR,CAN,20235
GMY,CAN,20255
HUN,CAN,20310
ITA,CAN,20325
YUG,CAN,20345
ROM,CAN,20360
RUS,CAN,20365
FIN,CAN,20375
DEN,CAN,20390
LIB,CAN,20620
IRQ,CAN,20645
AFG,CAN,20700
CHN,CAN,20710
PRK,CAN,20731
JPN,CAN,20740
DOM,CUB,40042
JAM,CUB,40051
BAR,CUB,40053
DMA,CUB,40054
SLU,CUB,40056
SVG,CUB,40057
AAB,CUB,40058
VEN,CUB,40101
FRN,CUB,40220
GMY,CUB,40255
ITA,CUB,40325
CEN,CUB,40482
DRC,CUB,40490
SOM,CUB,40520
ZAM,CUB,40551
SAF,CUB,40560
MOR,CUB,40600
EGY,CUB,40651
JPN,CUB,40740
DOM,HAI,41042
ARG,HAI,41160
UKG,HAI,41200
NTH,HAI,41210
FRN,HAI,41220
GMY,HAI,41255
HUN,HAI,41310
ITA,HAI,41325
BUL,HAI,41355
ROM,HAI,41360
JPN,HAI,41740
VEN,DOM,42101
FRN,DOM,42220
GMY,DOM,42255
ITA,DOM,42325
JPN,DOM,42740
GRN,JAM,51055
HON,JAM,51091
VEN,TRI,52101
GRN,BAR,53055
GRN,DMA,54055
SLU,GRN,55056
SVG,GRN,55057
AAB,GRN,55058
GUA,MEX,70090
NIC,MEX,70093
UKG,MEX,70200
FRN,MEX,70220
SPN,MEX,70230
GMY,MEX,70255
ITA,MEX,70325
JPN,MEX,70740
GUA,BLZ,80090
HON,GUA,90091
SAL,GUA,90092
NIC,GUA,90093
UKG,GUA,90200
SPN,GUA,90230
GMY,GUA,90255
ITA,GUA,90325
JPN,GUA,90740
SAL,HON,91092
NIC,HON,91093
GMY,HON,91255
ITA,HON,91325
JPN,HON,91740
NIC,SAL,92093
GMY,SAL,92255
ITA,SAL,92325
JPN,SAL,92740
COS,NIC,93094
COL,NIC,93100
GMY,NIC,93255
AUH,NIC,93300
HUN,NIC,93310
ITA,NIC,93325
BUL,NIC,93355
ROM,NIC,93360
JPN,NIC,93740
PAN,COS,94095
GMY,COS,94255
ITA,COS,94325
JPN,COS,94740
ECU,PAN,95130
GMY,PAN,95255
ITA,PAN,95325
PRK,PAN,95731
JPN,PAN,95740
VEN,COL,100101
ECU,COL,100130
PER,COL,100135
BRA,COL,100140
UKG,COL,100200
FRN,COL,100220
GMY,COL,100255
ITA,COL,100325
RUS,COL,100365
CHN,COL,100710
PRK,COL,100731
GUY,VEN,101110
CHL,VEN,101155
UKG,VEN,101200
NTH,VEN,101210
FRN,VEN,101220
GMY,VEN,101255
ITA,VEN,101325
RUS,VEN,101365
JPN,VEN,101740
SUR,GUY,110115
BRA,GUY,110140
PER,ECU,130135
SPN,ECU,130230
BRA,PER,135140
BOL,PER,135145
CHL,PER,135155
SPN,PER,135230
GMY,PER,135255
JPN,PER,135740
BOL,BRA,140145
